Start Buffer: size=834
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [107, 133, 20, 63, 19, 5, 2000, -2121, 87, 7]
Robot Data: [122, 100, 16, 61, 19, 5, 2000, -2424, 86, 10]
Robot Data: [139, 78, 10, 56, 19, 5, 2000, -2727, 86, 10]
Robot Data: [144, 103, 8, 53, 19, 5, 2000, -3030, 91, 7]
Robot Data: [137, 109, 4, 48, 19, 5, 2000, -3108, 91, 8]
Robot Data: [133, 118, 2, 40, 20, 5, 2000, -3108, 86, 6]
Robot Data: [133, 141, 0, 37, 20, 5, 2000, -3108, 81, 12]
Robot Data: [131, 168, 1, 29, 20, 5, 2000, -3108, 77, 15]
Robot Data: [129, 196, 0, 24, 20, 5, 2000, -3108, 74, 18]
Robot Data: [122, 232, 1, 17, 20, 5, 2000, -3108, 73, 20]
Robot Data: [112, 289, 0, 11, 21, 5, 2000, -3108, 71, 13]
Robot Data: [103, 304, 1, 8, 20, 5, 2000, -3108, 76, 15]
Robot Data: [89, 264, 4, 4, 19, 5, 2000, -3108, 82, 17]
Robot Data: [77, 232, 4, 3, 21, 5, 2000, -3108, 76, 8]
Robot Data: [65, 207, 5, 2, 20, 5, 2000, -3108, 81, 10]
Robot Data: [53, 188, 11, 1, 19, 5, 2000, -3108, 85, 14]
Robot Data: [34, 166, 24, 1, 21, 5, 2000, -2805, 71, 13]
Robot Data: [22, 134, 41, 0, 20, 5, 2000, -2502, 66, 25]
Robot Data: [11, 122, 68, 1, 20, 5, 2000, -2199, 53, 38]
Robot Data: [7, 108, 106, 1, 21, 5, 2000, -1896, 42, 41]
Robot Data: [1, 94, 136, 1, 20, 5, 2000, -1593, 37, 53]
Robot Data: [2, 82, 166, 1, 20, 5, 2000, -1290, 32, 58]
Robot Data: [2, 73, 184, 1, 20, 5, 2000, -987, 29, 61]
Robot Data: [1, 66, 195, 1, 20, 5, 2000, -684, 30, 60]
Robot Data: [1, 63, 200, 1, 20, 5, 2000, -381, 32, 58]
Robot Data: [1, 66, 202, 1, 20, 5, 2000, -78, 36, 54]
Robot Data: [1, 68, 198, 1, 19, 5, 2000, 0, 45, 53]
Robot Data: [2, 70, 192, 2, 21, 5, 2000, 0, 41, 43]
Robot Data: [1, 74, 183, 0, 20, 21, 2000, 0, 41, 49]
Robot Data: [2, 77, 175, 1, 20, 21, 2280, 0, 53, 60]
Robot Data: [2, 78, 167, 0, 21, 21, 2560, 0, 68, 70]
Robot Data: [2, 80, 162, 1, 22, 21, 2840, 0, 85, 80]
Robot Data: [1, 83, 155, 1, 24, 21, 3120, 0, 95, 92]
Robot Data: [2, 85, 150, 1, 27, 21, 3400, 0, 105, 97]
Robot Data: [1, 88, 146, 2, 30, 21, 3680, 0, 110, 99]
Robot Data: [0, 91, 144, 2, 33, 21, 3960, 0, 115, 109]
Robot Data: [4, 89, 141, 0, 35, 21, 4240, 0, 122, 123]
Robot Data: [2, 90, 137, 1, 39, 21, 4520, 0, 124, 128]
Robot Data: [3, 91, 136, 0, 43, 21, 4800, 0, 126, 133]
Robot Data: [1, 92, 133, 0, 46, 21, 5080, 0, 127, 137]
Robot Data: [2, 92, 128, 0, 48, 21, 5360, 0, 139, 145]
Robot Data: [1, 96, 130, 1, 52, 21, 5640, 0, 145, 144]
Robot Data: [3, 94, 131, 0, 57, 21, 5920, 0, 150, 135]
Robot Data: [3, 90, 130, 0, 54, 21, 6200, 0, 177, 164]
Robot Data: [3, 95, 132, 0, 57, 21, 6480, 0, 174, 176]
Robot Data: [1, 93, 131, 1, 61, 21, 6760, 0, 172, 184]
Robot Data: [0, 84, 129, 0, 65, 21, 7040, 0, 172, 190]
Robot Data: [2, 85, 145, 0, 68, 21, 7320, 0, 181, 194]
Robot Data: [1, 87, 151, 0, 74, 21, 7600, 0, 182, 183]
Robot Data: [2, 85, 150, 0, 73, 21, 7880, 0, 203, 195]
Robot Data: [2, 84, 152, 1, 75, 21, 8160, 0, 211, 208]
Robot Data: [0, 80, 147, 1, 79, 21, 8440, 0, 210, 215]
Robot Data: [0, 81, 150, 1, 81, 21, 8720, 0, 213, 232]
Robot Data: [0, 79, 155, 1, 85, 21, 8900, 0, 210, 231]
Robot Data: [0, 77, 155, 0, 88, 21, 8900, 0, 205, 217]
Robot Data: [1, 80, 156, 1, 92, 21, 8900, 0, 193, 199]
Robot Data: [0, 78, 152, 0, 88, 21, 8900, 0, 209, 212]
Robot Data: [1, 81, 152, 1, 92, 21, 8900, 0, 193, 197]
Robot Data: [2, 81, 144, 0, 91, 21, 8900, 0, 198, 197]
Robot Data: [0, 78, 140, 1, 90, 21, 8900, 0, 200, 200]
Robot Data: [1, 76, 120, 0, 90, 21, 8900, 0, 202, 198]
Robot Data: [2, 90, 128, 1, 91, 21, 8900, 0, 197, 193]
Robot Data: [3, 96, 127, 1, 91, 21, 8900, 0, 196, 192]
Robot Data: [2, 96, 122, 1, 92, 21, 8900, 0, 187, 191]
Robot Data: [1, 99, 123, 1, 92, 21, 8900, 0, 188, 187]
Robot Data: [3, 100, 120, 0, 92, 21, 8900, 0, 186, 186]
Robot Data: [0, 100, 114, 1, 92, 21, 8900, 0, 188, 180]
Robot Data: [4, 102, 116, 1, 91, 21, 8900, 0, 192, 181]
Robot Data: [1, 100, 109, 1, 91, 21, 8900, 0, 186, 184]
Robot Data: [4, 100, 109, 1, 92, 21, 8900, 0, 176, 184]
Robot Data: [3, 99, 103, 1, 92, 21, 8900, 0, 175, 182]
Robot Data: [4, 97, 115, 1, 91, 21, 8900, 0, 181, 180]
Robot Data: [4, 103, 115, 0, 90, 21, 8900, 0, 185, 182]
Robot Data: [3, 109, 114, 0, 90, 21, 8900, 0, 185, 181]
Robot Data: [4, 114, 113, 1, 91, 21, 8900, 0, 178, 179]
Robot Data: [3, 115, 109, 1, 91, 21, 8900, 0, 179, 175]
Robot Data: [3, 120, 109, 1, 90, 21, 8900, 0, 182, 178]
Robot Data: [5, 118, 105, 0, 90, 21, 8900, 0, 177, 182]
Robot Data: [3, 119, 99, 1, 90, 21, 8900, 0, 179, 179]
