Start Buffer: size=422
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [14, 8, 94, 19, 13, 34, 1400, 0, 42, 36]
Robot Data: [15, 7, 96, 20, 14, 34, 1400, 0, 39, 32]
Robot Data: [16, 6, 96, 20, 14, 34, 1400, 0, 39, 32]
Robot Data: [17, 6, 98, 20, 14, 34, 1400, 0, 39, 32]
Robot Data: [18, 4, 100, 21, 14, 34, 1400, 0, 35, 36]
Robot Data: [19, 6, 102, 22, 14, 34, 1400, 0, 32, 39]
Robot Data: [19, 5, 104, 22, 14, 34, 1400, 0, 28, 43]
Robot Data: [17, 6, 103, 21, 14, 34, 1400, 0, 29, 42]
Robot Data: [23, 7, 106, 23, 14, 34, 1400, 0, 35, 36]
Robot Data: [23, 6, 105, 24, 14, 34, 1400, 0, 38, 33]
Robot Data: [22, 6, 102, 26, 14, 34, 1400, 0, 37, 34]
Robot Data: [25, 7, 102, 26, 15, 34, 1400, 0, 29, 34]
Robot Data: [24, 6, 101, 26, 14, 34, 1400, 0, 35, 35]
Robot Data: [28, 6, 102, 28, 13, 34, 1400, 0, 41, 37]
Robot Data: [25, 6, 102, 28, 13, 34, 1400, 0, 39, 40]
Robot Data: [27, 5, 99, 30, 14, 34, 1400, 0, 38, 34]
Robot Data: [31, 6, 100, 31, 14, 34, 1400, 0, 36, 36]
Robot Data: [27, 6, 100, 31, 14, 34, 1400, 0, 36, 36]
Robot Data: [31, 7, 104, 34, 14, 34, 1400, 0, 34, 38]
Robot Data: [32, 7, 103, 35, 14, 34, 1400, 0, 36, 36]
Robot Data: [34, 7, 101, 35, 14, 34, 1400, 0, 34, 38]
Robot Data: [33, 6, 102, 37, 14, 34, 1400, 0, 36, 36]
Robot Data: [35, 6, 101, 38, 14, 34, 1400, 0, 36, 36]
Robot Data: [40, 7, 103, 40, 14, 34, 1400, 0, 38, 34]
Robot Data: [38, 6, 100, 41, 15, 34, 1400, 0, 30, 34]
Robot Data: [46, 8, 101, 44, 14, 34, 1400, 0, 38, 33]
Robot Data: [41, 8, 102, 44, 14, 34, 1400, 0, 37, 34]
Robot Data: [44, 8, 100, 46, 14, 34, 1400, 0, 35, 36]
Robot Data: [46, 9, 102, 48, 14, 34, 1400, 0, 36, 36]
Robot Data: [50, 9, 102, 51, 14, 50, 1400, 0, 34, 37]
Robot Data: [46, 10, 102, 51, 14, 50, 1400, 0, 34, 37]
Robot Data: [49, 11, 105, 52, 14, 50, 1400, 0, 38, 33]
Robot Data: [51, 11, 104, 55, 14, 50, 1400, 0, 35, 36]
Robot Data: [58, 11, 105, 57, 14, 50, 1400, 0, 36, 36]
Robot Data: [60, 12, 105, 60, 14, 50, 1400, 133, 34, 37]
Robot Data: [59, 14, 105, 60, 14, 50, 1400, 266, 30, 41]
Robot Data: [61, 14, 106, 64, 14, 50, 1400, 399, 25, 46]
Robot Data: [64, 15, 105, 65, 14, 50, 1400, 532, 24, 48]
Robot Data: [67, 15, 101, 69, 14, 50, 1400, 665, 20, 51]
Robot Data: [68, 15, 98, 75, 14, 50, 1400, 798, 19, 53]
Robot Data: [70, 15, 92, 81, 14, 50, 1400, 931, 15, 56]
Robot Data: [70, 16, 91, 89, 14, 50, 1400, 1064, 13, 58]
Robot Data: [70, 14, 92, 96, 14, 50, 1400, 1197, 10, 61]
Robot Data: [66, 13, 101, 103, 14, 50, 1400, 1330, 12, 59]
Robot Data: [61, 10, 105, 108, 14, 50, 1400, 1463, 12, 59]
Robot Data: [61, 9, 102, 111, 14, 50, 1400, 1596, 16, 55]
