Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
6,106,117,6,19,34,2000,987,72,34,12,0,4313,767.009187499332,355.673168328,134.090999999859,2.5919999999999996,1.224,2,2
6,113,107,9,20,34,2000,684,66,33,15,-3,4333,770.565919182612,355.673168328,92.92628571418801,2.376,1.188,2,2
6,116,103,8,20,34,2000,381,64,35,14,-2,4353,774.122650865892,355.673168328,51.761571428517,2.304,1.26,2,2
6,118,100,8,20,34,2000,78,60,38,14,-2,4373,777.679382549172,355.673168328,10.596857142846002,2.1599999999999997,1.3679999999999999,2,2
6,116,101,8,20,34,2000,0,57,42,14,-2,4393,781.236114232452,355.673168328,0.0,2.052,1.5119999999999998,2,2
6,117,108,7,20,34,2000,0,50,49,13,-1,4413,784.792845915732,355.673168328,0.0,1.7999999999999998,1.7639999999999998,2,2
6,112,112,8,20,35,2000,0,45,54,14,-2,4433,788.349577599012,355.673168328,0.0,1.6199999999999999,1.944,2,3
6,109,117,8,21,35,2280,0,50,64,14,-2,4454,792.084145866456,405.46741189392,0.0,1.7999999999999998,2.304,2,3
6,104,117,8,20,35,2560,0,70,83,14,-2,4474,795.640877549736,455.26165545984,0.0,2.52,2.988,2,3
6,106,115,7,23,35,2840,0,75,92,13,-1,4497,799.731118985508,505.05589902576,0.0,2.6999999999999997,3.312,2,3
7,107,114,8,24,35,3120,0,93,102,15,-1,4521,803.999197005444,554.85014259168,0.0,3.348,3.6719999999999997,2,3
5,108,108,9,26,35,3400,0,112,106,14,-4,4547,808.622948193708,604.6443861576,0.0,4.032,3.816,2,3
5,111,104,8,30,35,3680,0,115,104,13,-3,4577,813.958045718628,654.43862972352,0.0,4.14,3.7439999999999998,2,3
7,114,98,10,32,35,3960,0,129,111,17,-3,4609,819.648816411876,704.23287328944,0.0,4.643999999999999,3.9959999999999996,2,3
7,117,96,10,35,35,4240,0,136,119,17,-3,4644,825.873096857616,754.02711685536,0.0,4.896,4.284,2,3
7,117,94,8,38,35,4520,0,143,127,15,-1,4682,832.630887055848,803.82136042128,0.0,5.148,4.572,2,3
6,118,93,8,42,35,4800,0,147,130,14,-2,4724,840.100023590736,853.6156039872,0.0,5.292,4.68,2,3
6,118,95,8,44,35,5080,0,150,141,14,-2,4768,847.924833293952,903.40984755312,0.0,5.3999999999999995,5.076,2,3
5,116,94,6,48,35,5360,0,148,150,11,-1,4816,856.460989333824,953.20409111904,0.0,5.327999999999999,5.3999999999999995,2,3
3,112,94,6,53,35,5640,0,149,146,9,-3,4869,865.886328294516,1002.99833468496,0.0,5.364,5.255999999999999,2,3
6,111,100,8,54,35,5920,0,164,157,14,-2,4923,875.489503839372,1052.79257825088,0.0,5.904,5.651999999999999,2,3
6,96,70,8,54,35,5640,0,149,147,14,-2,4977,885.092679384228,1002.99833468496,0.0,5.364,5.292,2,3
9,38,18,10,56,35,5360,0,124,128,19,-1,5033,895.051528097412,953.20409111904,0.0,4.4639999999999995,4.608,2,3
10,6,6,10,55,35,5080,0,104,122,20,0,5088,904.832540226432,903.40984755312,0.0,3.7439999999999998,4.3919999999999995,2,3
12,3,4,11,53,35,4800,0,96,117,23,1,5141,914.257879187124,853.6156039872,0.0,3.4559999999999995,4.212,2,3
16,4,4,15,52,35,4520,0,84,100,31,1,5193,923.505381563652,803.82136042128,0.0,3.0239999999999996,3.5999999999999996,2,3
22,4,5,22,50,35,4240,0,80,81,44,0,5243,932.397210771852,754.02711685536,0.0,2.88,2.916,2,3
